,Region,"Population(000, 2019)","Pop. density(per km2, 2019)",Capital city,"Capital city pop.(000, 2019)",UN membership date,Surface area(km2),Sex ratio(m per 100 f),National currency,Exchange rate(per US$)
Solomon Islands,Melanesia,670,23.9,Honiara,81.8,19-Sep-78,28896,103.4,Solomon Is. Dollar (SBD),8.1
Somalia,Eastern Africa,15443,24.6,Mogadishu,2179.9,20-Sep-60,637657,99.5,Somali Shilling (SOS),23605.0
South Africa,Southern Africa,58558,48.3,Pretoria,2472.6,7-Nov-45,1221037,97.2,Rand (ZAR),14.4
South Sudan,Eastern Africa,11062,18.1,Juba,385.8,14-Jul-11,658841,100.2,S. Sudanese Pound (SSP),154
Spain,Southern Europe,46737,93.7,Madrid,6559.0,14-Dec-55,505944,96.6,Euro (EUR),0.9
Sri Lanka,Southern Asia,21324,340,Colombo,606.2,14-Dec-55,65610,92.3,Sri Lanka Rupee (LKR),182.3
State of Palestine,Western Asia,4981,827.5,East Jerusalem,275.1,,6020,102.9,,
Sudan,Northern Africa,42813,24.3,Khartoum,5677.9,12-Nov-56,,99.8,Sudanese Pound (SDG),6.7
Suriname,South America,581,3.7,Paramaribo,239.5,4-Dec-75,163820,101.1,Surinam Dollar (SRD),7.5
Sweden,Northern Europe,10036,24.5,Stockholm,1608.0,19-Nov-46,438574,100.3,Swedish Krona (SEK),9
Switzerland,Western Europe,8591,217.4,Bern,426,10-Sep-02,41291,98.4,Swiss Franc (CHF),1
Syrian Arab Republic,Western Asia,17070,93,Damascus,2353.6,24-Oct-45,185180,100.5,Syrian Pound (SYP),434
Tajikistan,Central Asia,9321,66.6,Dushanbe,893.8,2-Mar-92,142600,101.6,Somoni (TJS),9.4
Thailand,South-eastern Asia,69626,136.3,Bangkok,10350.2,16-Dec-46,513120,94.9,Baht (THB),32.4
Timor-Leste,South-eastern Asia,1293,87,Dili,281.1,27-Sep-02,14919,102.2,US Dollar (USD),
Togo,Western Africa,8082,148.6,Lomé,1785.3,20-Sep-60,56785,99,"CFA Franc, BCEAO (XOF)",572.9
Tokelau,Polynesia,1,134,Tokelau,,,12,100,New Zealand Dollar (NZD),1.5
Tonga,Polynesia,104,145.1,Nuku'alofa,22.9,14-Sep-99,747,100.1,Pa'anga (TOP),2.3
Trinidad and Tobago,Caribbean,1395,271.9,Port of Spain,544.3,18-Sep-62,5127,97.6,TT Dollar (TTD),6.8
Tunisia,Northern Africa,11695,75.3,Tunis,2327.8,12-Nov-56,163610,98.3,Tunisian Dinar (TND),3
Turkey,Western Asia,83430,108.4,Ankara,5018.0,24-Oct-45,783562,97.4,Turkish Lira (TRY),5.3
Turkmenistan,Central Asia,5942,12.6,Ashgabat,828.1,2-Mar-92,488100,97,Turkmen. Manat (TMT),3.5
Turks and Caicos Islands,Caribbean,38,40.2,Cockburn Town,0.1,,948,104.1,US Dollar (USD),
Tuvalu,Polynesia,12,388.2,Funafuti,7,5-Sep-00,26,102,Australian Dollar (AUD),1.4
Uganda,Eastern Africa,44270,221.6,Kampala,3137.7,25-Oct-62,241550,97.1,Uganda Shilling (UGX),3713.4
Ukraine,Eastern Europe,43994,75.9,Kyiv,2973.3,24-Oct-45,603500,86.3,Hryvnia (UAH),28
United Arab Emirates,Western Asia,9770,116.9,Abu Dhabi,1452.1,9-Dec-71,83600,225.3,UAE Dirham (AED),3.7
United Kingdom,Northern Europe,67530,279.1,London,9176.5,24-Oct-45,242495,97.6,Pound Sterling (GBP),0.8
United Rep. of Tanzania,Eastern Africa,58006,65.5,Dodoma,261.6,14-Dec-61,947303,99.8,Tanzanian Shilling (TZS),2281.2
United States of America,Northern America,329065,36,"Washington, D.C.",5264.5,24-Oct-45,9833517,97.9,US Dollar (USD),
United States Virgin Islands,Caribbean,105,298.8,Charlotte Amalie,52.3,,347,90.6,US Dollar (USD),
Uruguay,South America,3462,19.8,Montevideo,1744.7,18-Dec-45,173626,93.4,Peso Uruguayo (UYU),32.4
Uzbekistan,Central Asia,32982,77.5,Tashkent,2490.3,2-Mar-92,448969,99.5,Uzbekistan Sum (UZS),8345.0
Vanuatu,Melanesia,300,24.6,Port Vila,52.7,15-Sep-81,12189,102.8,Vatu (VUV),112.6
Venezuela (Boliv. Rep. of),South America,28516,32.3,Caracas,2935.5,15-Nov-45,912050,97.1,Bolívar (VEF),10
Viet Nam,South-eastern Asia,96462,311.1,Hanoi,4479.6,20-Sep-77,330967,99.7,Dong (VND),22825.0
Wallis and Futuna Islands,Polynesia,11,81.7,Matu-Utu,1,,142,93.4,CFP Franc (XPF),104.2
Western Sahara,Northern Africa,582,2.2,El Aaiún,232.4,,266000,109.7,Moroccan Dirham (MAD),9.6
Yemen,Western Asia,29162,55.2,Sana'a,2874.4,30-Sep-47,527968,101.5,Yemeni Rial (YER),214.9
Zambia,Eastern Africa,17861,24,Lusaka,2646.6,1-Dec-64,752612,98.1,Zambian Kwacha (ZMW),11.9
Zimbabwe,Eastern Africa,14646,37.9,Harare,1521.3,25-Aug-80,390757,91.1,Zimbabwe Dollar (ZWL),
