,GDP: Gross domestic product(million current US$),"GDP growth rate(annual %, const. 2010 prices)",GDP per capita(current US$),Economy: Agriculture(% of Gross Value Added),Economy: Industry(% of Gross Value Added),Economy: Services and other activity(% of GVA),Employment: Agriculture(% of employed),Employment: Industry(% of employed),Employment: Services(% employed),Unemployment(% of labour force),Labour force participation(female/male pop. %),CPI: Consumer Price Index(2010=100),Agricultural production index(2004-2006=100),International trade: Exports(million current US$),International trade: Imports(million current US$),International trade: Balance(million current US$),"Balance of payments, current account(million US$)",Population growth rate(average annual %),Urban population(% of total population),Urban population growth rate(average annual %),"Fertility rate, total(live births per woman)","Life expectancy at birth(females/males, years)","Population age distribution(0-14/60+ years old, %)",International migrant stock(000/% of total pop.),Refugees and others of concern to UNHCR(000),Infant mortality rate(per 1 000 live births),Health: Current expenditure(% of GDP),Health: Physicians(per 1 000 pop.),Education: Government expenditure(% of GDP),Education: Primary gross enrol. ratio(f/m per 100 pop.),Education: Secondary gross enrol. ratio(f/m per 100 pop.),Education: Tertiary gross enrol. ratio(f/m per 100 pop.),Intentional homicide rate(per 100 000 pop.),Seats held by women in national parliaments(%),Individuals using the Internet(per 100 inhabitants),Threatened species(number),Forested area(% of land area),CO2 emission estimates(million tons/tons per capita),"Energy production, primary(Petajoules)",Energy supply per capita(Gigajoules),Important sites for terrestrial biodiversity protected(%),Net Official Development Assist. received(% of GNI),Index of industrial production(2005=100),Research & Development expenditure(% of GDP),Tourist/visitor arrivals at national borders(000),Net Official Development Assist. disbursed(% of GNI)
Peru,211403.0,2.5,6572.4,7.4,33.8,58.9,27.5,15.9,56.5,3.7,70.2/84.8,127.0,150.0,51004.0,45297.0,5707.0,-2720.0,1.0,78.1,1.6,2.4,77.7/72.6,25.3/12.1,93.8/0.3,170.9,14.1,5.1,1.3,3.9,102.6/102.3,98.3/98.5,73.6/65.8,7.7,30.0,48.7,742.0,57.7,61.7/2.0,974.0,32.0,,0.0,142.0,0.1,4032.0,
Philippines,313595.0,6.7,2989.0,9.7,30.5,59.9,24.6,18.0,57.4,1.8,45.9/74.1,117.0,113.0,67488.0,115038.0,-47550.0,-7879.0,1.7,47.1,2.1,3.0,74.6/66.2,30.5/8.3,218.5/0.2,417.1,23.7,4.4,,,109.0/112.7,93.3/85.2,40.3/30.5,11.0,29.4,60.1,780.0,27.8,105.7/1.1,1106.0,21.0,41.7,0.04,,0.1,6621.0,
Poland,526212.0,4.8,13785.7,3.2,32.9,63.9,10.0,30.8,59.1,4.4,48.7/65.2,112.0,113.0,247643.0,250313.0,-2670.0,-3929.0,-0.2,60.0,-0.2,1.3,81.2/73.1,15.2/25.4,640.9/1.7,26.3,4.4,6.5,2.4,4.8,110.6/109.6,105.5/108.5,80.6/53.2,0.7,29.1,76.0,65.0,30.9,285.7/7.4,2791.0,109.0,88.1,,154.0,1.0,18258.0,0.13
Portugal,195041.0,0.9,18881.9,2.3,22.4,75.3,6.5,24.3,69.2,6.7,53.6/63.8,110.0,108.0,68652.0,88958.0,-20307.0,-1508.0,-0.4,65.8,0.5,1.3,83.6/77.4,13.3/28.9,880.2/8.5,1.9,2.9,9.1,3.3,4.9,103.3/107.1,115.9/119.1,66.4/59.5,0.6,35.6,73.8,410.0,34.6,45.1/4.3,254.0,88.0,73.9,,88.0,1.3,15432.0,0.18
Puerto Rico,104219.0,-2.4,28450.7,0.8,50.9,48.3,3.2,17.1,79.7,10.3,32.2/51.1,107.0,102.0,,,,,-1.1,93.6,-0.3,1.5,82.7/75.4,16.3/26.2,273.5/7.5,,6.4,,,6.1,81.0/79.4,77.4/72.0,97.2/68.9,18.5,,72.8,140.0,56.3,,1.0,17.0,34.0,,,0.4,3797.0,
Qatar,167605.0,1.6,63505.9,0.2,52.8,47.0,1.2,54.7,44.1,0.1,57.7/95.0,109.0,166.0,77360.0,29075.0,48285.0,16652.0,6.5,99.2,6.7,2.0,81.1/78.3,13.6/3.3,1721.4/65.2,1.5,7.3,3.1,,2.9,103.8/104.6,96.3/77.3,51.0/6.6,0.4,9.8,95.9,47.0,0.0,107.9/49.7,9519.0,686.0,50.0,,226.0,0.5,2256.0,
Republic of Korea,1530751.0,3.1,30025.2,2.2,39.6,58.3,4.7,24.4,70.9,3.6,52.7/73.3,115.0,103.0,624964.0,513548.0,111416.0,76408.0,0.5,81.4,0.3,1.2,84.4/77.9,12.7/22.1,1151.9/2.3,19.0,3.0,7.3,2.4,5.3,97.1/96.9,99.8/99.7,81.7/104.7,0.7,17.1,95.1,124.0,63.4,587.2/11.7,2117.0,232.0,36.6,,151.0,4.2,13336.0,0.14
Republic of Moldova,8128.0,4.5,2006.4,14.3,20.9,64.8,31.8,17.2,51.0,4.3,38.4/45.4,159.0,111.0,3114.0,6216.0,-3103.0,-1187.0,-0.1,42.7,-0.2,1.3,75.2/66.7,15.9/18.4,140.0/3.5,5.0,14.2,9.0,3.2,6.7,91.1/91.4,86.5/87.1,46.7/35.7,3.2,22.8,76.1,33.0,12.6,4.9/1.2,33.0,26.0,23.6,2.79,94.0,0.3,145.0,
Réunion,,,,,,,4.3,12.7,81.7,28.9,49.1/61.3,127.0,102.0,,,,,0.8,99.6,0.9,2.4,82.9/76.0,22.8/17.6,129.2/14.7,,4.2,,,,,,,,,36.3,135.0,35.1,4.2/4.9,9.0,69.0,45.8,,,,508.0,
Romania,211804.0,6.9,10762.8,5.2,35.9,58.9,21.9,28.1,50.0,5.0,45.2/63.8,119.0,95.0,80710.0,98026.0,-17316.0,-10757.0,-0.5,54.1,-0.5,1.5,78.4/71.5,15.6/25.7,370.8/1.9,4.7,8.4,5.0,2.3,3.1,88.9/90.0,88.6/89.3,53.3/43.0,1.2,20.7,63.7,126.0,30.1,70.0/3.6,1045.0,67.0,77.3,,155.0,0.5,10926.0,0.11
Russian Federation,1577524.0,1.5,10955.8,4.4,33.3,62.3,6.5,26.7,66.8,4.9,54.5/70.0,173.0,139.0,452571.0,239459.0,213112.0,113810.0,0.2,74.6,0.2,1.7,76.0/64.6,18.2/22.0,11651.5/8.1,185.2,8.3,5.3,4.0,3.8,102.3/101.8,104.0/105.6,89.3/74.7,10.8,15.8,76.0,239.0,49.8,1705.3/11.9,57240.0,212.0,26.9,,121.0,1.1,24390.0,0.08
Rwanda,9136.0,6.1,748.4,33.3,16.9,49.8,64.8,8.4,26.8,1.4,84.2/83.5,137.0,140.0,1121.0,3256.0,-2135.0,-628.0,2.5,17.3,2.6,4.2,67.6/63.8,39.8/5.0,443.1/3.6,152.5,39.4,6.8,0.1,3.2,132.8/134.1,40.3/35.9,7.2/8.1,2.5,61.2,21.8,97.0,19.7,0.8/0.1,86.0,8.0,45.7,13.71,,,932.0,
Saint Helena,,,,,,,,,,,,,,,63.0,-63.0,,-0.7,39.9,-0.7,,,,0.6/15.0,,,,,,,,,,,37.6,155.0,5.1,~0.0 /        3.1,0.0,37.0,54.8,,,,,
Saint Kitts and Nevis,931.0,1.2,16818.0,1.2,28.8,70.0,,,,,... / ...,106.0,39.0,35.0,430.0,-395.0,-86.0,1.1,30.8,0.8,,,... / ...,7.6/13.7,,,5.7,2.5,2.8,,,,34.2,13.3,80.7,55.0,42.3,0.2/4.2,0.0,63.0,29.2,3.92,,,122.0,
Saint Lucia,1718.0,3.0,9607.0,2.1,12.4,85.5,15.2,17.5,67.3,19.8,60.4/75.3,110.0,65.0,91.0,622.0,-531.0,-47.0,0.6,18.8,0.6,1.5,76.6/73.9,18.2/14.4,12.9/7.2,,16.0,5.3,,5.7,... / ...,88.4/87.9,26.8/13.4,19.3,16.7,50.8,66.0,33.2,0.4/2.2,0.0,34.0,46.0,0.97,,,386.0,
Saint Pierre and Miquelon,,,,,,,,,,,,,115.0,931.0,3402.0,-2471.0,,,89.9,0.1,,,... / ...,1.0/15.7,,,,,,,,,,,,16.0,13.7,0.1/12.2,0.0,174.0,,,,,,
