,GDP: Gross domestic product(million current US$),"GDP growth rate(annual %, const. 2010 prices)",GDP per capita(current US$),Economy: Agriculture(% of Gross Value Added),Economy: Industry(% of Gross Value Added),Economy: Services and other activity(% of GVA),Employment: Agriculture(% of employed),Employment: Industry(% of employed),Employment: Services(% employed),Unemployment(% of labour force),Labour force participation(female/male pop. %),CPI: Consumer Price Index(2010=100),Agricultural production index(2004-2006=100),International trade: Exports(million current US$),International trade: Imports(million current US$),International trade: Balance(million current US$),"Balance of payments, current account(million US$)",Population growth rate(average annual %),Urban population(% of total population),Urban population growth rate(average annual %),"Fertility rate, total(live births per woman)","Life expectancy at birth(females/males, years)","Population age distribution(0-14/60+ years old, %)",International migrant stock(000/% of total pop.),Refugees and others of concern to UNHCR(000),Infant mortality rate(per 1 000 live births),Health: Current expenditure(% of GDP),Health: Physicians(per 1 000 pop.),Education: Government expenditure(% of GDP),Education: Primary gross enrol. ratio(f/m per 100 pop.),Education: Secondary gross enrol. ratio(f/m per 100 pop.),Education: Tertiary gross enrol. ratio(f/m per 100 pop.),Intentional homicide rate(per 100 000 pop.),Seats held by women in national parliaments(%),Individuals using the Internet(per 100 inhabitants),Threatened species(number),Forested area(% of land area),CO2 emission estimates(million tons/tons per capita),"Energy production, primary(Petajoules)",Energy supply per capita(Gigajoules),Important sites for terrestrial biodiversity protected(%),Net Official Development Assist. received(% of GNI),Index of industrial production(2005=100),Research & Development expenditure(% of GDP),Tourist/visitor arrivals at national borders(000),Net Official Development Assist. disbursed(% of GNI)
Thailand,455303.0,3.9,6595.0,8.7,35.1,56.3,31.2,22.5,46.3,1.4,59.2/75.9,112.0,118.0,253430.0,250524.0,2905.0,35159.0,0.4,50.7,2.1,1.5,78.9/71.6,16.8/18.5,3588.9/5.2,583.1,10.1,3.7,0.8,4.1,99.5/99.7,114.3/119.1,57.7/41.1,3.2,5.4,52.9,646.0,32.2,316.2/4.7,3283.0,84.0,71.7,0.06,,0.6,35592.0,0.03
Timor-Leste,2955.0,-8.0,2279.3,9.3,57.6,33.1,24.9,15.8,59.3,3.5,24.9/52.5,142.0,111.0,45.0,552.0,-507.0,-339.0,1.8,30.9,3.5,4.4,69.5/65.9,37.3/6.5,12.1/0.9,,44.9,4.0,0.7,2.7,99.1/102.0,82.6/76.2,... / ...,3.9,40.0,27.5,32.0,45.4,0.5/0.4,121.0,6.0,38.7,8.94,,,74.0,
Togo,4786.0,4.4,613.8,28.4,18.6,53.0,36.0,17.3,46.7,1.8,75.8/79.3,110.0,142.0,877.0,2091.0,-1214.0,-96.0,2.6,42.2,4.0,4.7,59.8/58.3,41.0/4.7,284.0/3.6,13.1,55.7,6.6,,5.1,120.1/125.9,51.9/71.4,8.0/17.7,9.0,16.5,12.4,90.0,3.1,2.6/0.4,117.0,20.0,97.0,6.92,156.0,0.3,496.0,
Tokelau,,,,,,,,,,,,,115.0,,1.0,-1.0,,1.9,0.0,0.0,2.1,,28.3/12.2,0.5/38.8,,,,,,95.2/107.7,70.7/69.6,,,,,51.0,0.0,,,,2.6,,,,,
Tonga,427.0,2.7,3949.8,19.5,19.0,61.5,31.5,31.8,36.7,1.2,45.2/74.1,113.0,137.0,17.0,277.0,-260.0,-29.0,-0.6,23.1,0.3,3.8,72.2/68.4,35.1/8.7,5.0/4.6,,14.7,5.3,0.5,,105.3/108.4,96.3/91.1,... / ...,1.0,7.4,41.2,80.0,12.5,0.1/1.1,0.0,17.0,9.3,20.07,,,62.0,
Trinidad and Tobago,22105.0,-2.3,16145.3,0.5,38.9,60.6,3.5,26.8,69.7,5.1,50.1/70.7,140.0,96.0,10454.0,3540.0,6914.0,1089.0,0.6,53.2,0.2,1.8,75.2/69.8,20.3/16.4,50.2/3.7,6.0,26.1,6.5,2.7,,... / ...,... / ...,... / ...,30.9,31.0,77.3,121.0,46.0,46.3/34.2,1407.0,562.0,40.7,,142.0,0.1,395.0,
Tunisia,40069.0,2.0,3474.5,10.2,24.6,65.2,13.3,42.6,44.1,15.1,23.9/69.7,138.0,117.0,15666.0,22513.0,-6848.0,-4080.0,1.0,69.3,1.6,2.3,77.6/73.4,24.2/13.1,57.7/0.5,1.0,14.6,7.0,1.3,6.6,113.2/116.2,97.9/88.1,41.2/23.2,3.0,35.9,55.5,100.0,6.8,28.8/2.6,252.0,40.0,40.8,2.0,112.0,0.6,7052.0,
Turkey,851542.0,7.4,10546.1,6.9,32.9,60.2,18.3,27.0,54.7,11.2,33.5/72.4,202.0,129.0,167933.0,222444.0,-54512.0,-27125.0,1.6,75.6,2.4,2.1,78.7/72.4,24.3/12.7,4882.0/6.0,3923.3,11.8,4.3,1.8,4.3,100.9/101.6,101.7/104.2,96.5/110.7,4.3,17.4,64.7,409.0,15.4,346.0/4.5,1490.0,71.0,2.3,0.38,140.0,0.9,37601.0,0.95
Turkmenistan,37915.0,6.5,6584.7,8.9,60.2,30.9,7.6,44.8,47.6,3.3,52.6/78.1,,102.0,3887.0,2721.0,1166.0,,1.8,52.0,2.5,3.0,70.8/63.9,30.8/7.8,195.1/3.4,4.3,46.9,6.6,2.2,3.0,87.5/89.2,84.0/87.6,6.2/9.7,,25.0,21.3,59.0,8.8,68.4/12.9,3230.0,204.0,14.6,0.07,,,,
Turks and Caicos Islands,1017.0,4.3,28689.1,0.6,11.0,88.4,,,,,,,,4.0,351.0,-347.0,173.0,2.0,93.4,2.5,,77.8/75.8,19.2/7.6,24.5/69.2,,,,,3.3,,,,5.9,,,63.0,36.2,0.2/6.1,0.0,86.0,28.0,,,,416.0,
Tuvalu,44.0,5.9,3923.6,20.0,17.8,62.2,,,,,... / ...,,111.0,,12.0,-12.0,7.0,0.9,63.2,2.6,3.6,... / ...,31.1/9.9,0.1/1.3,,,15.5,0.9,,104.7/108.3,95.8/76.4,,18.6,6.7,49.3,98.0,33.3,~0.0 / ...,0.0,13.0,,44.94,,,2.0,
Uganda,27699.0,5.0,646.2,26.5,21.3,52.2,67.8,7.1,25.1,2.3,67.3/75.0,172.0,92.0,2911.0,3230.0,-319.0,-2565.0,3.3,24.4,6.0,5.8,61.1/57.7,46.5/3.2,1692.1/3.9,1334.4,59.0,6.2,0.1,2.6,100.3/97.7,... / ...,4.0/5.2,11.5,34.9,23.7,220.0,9.7,5.2/0.1,618.0,16.0,72.0,7.94,,0.2,1402.0,
Ukraine,112154.0,2.5,2536.1,12.1,28.4,59.5,14.0,26.0,60.0,8.6,46.4/62.5,261.0,153.0,47348.0,57993.0,-10645.0,-4287.0,-0.4,69.5,-0.4,1.5,75.8/65.8,15.9/23.4,4964.3/11.2,1845.1,8.8,6.7,3.0,5.0,100.9/98.9,95.7/97.8,89.5/77.6,6.3,11.6,57.1,115.0,16.7,227.3/5.1,2658.0,87.0,23.7,1.02,99.0,0.5,14230.0,
United Arab Emirates,382575.0,0.8,40698.8,0.8,43.6,55.6,0.3,38.6,61.1,1.7,51.1/93.4,117.0,101.0,106586.0,155599.0,-49013.0,,1.6,86.8,2.4,1.7,78.2/76.1,14.7/2.8,8312.5/88.4,5.8,6.5,3.5,2.4,,108.9/112.8,93.0/98.6,,0.9,22.5,94.8,61.0,4.6,211.4/23.2,10542.0,370.0,30.8,,,1.0,,1.03
United Kingdom,2631228.0,1.7,39757.7,0.7,20.2,79.2,1.1,18.1,80.8,3.9,57.1/67.7,118.0,103.0,487069.0,669640.0,-182571.0,-108745.0,0.7,83.7,1.0,1.9,82.7/78.9,17.7/24.1,8841.7/13.4,157.2,4.1,9.8,2.8,5.5,101.3/101.5,160.5/144.2,68.5/50.7,1.2,32.0,94.6,138.0,13.1,419.8/6.5,4968.0,113.0,84.4,,90.0,1.7,37651.0,0.7
United Rep. of Tanzania,52090.0,7.0,933.6,32.1,28.1,39.9,65.3,6.1,28.6,2.3,79.2/87.1,181.0,165.0,5132.0,8744.0,-3612.0,-1634.0,3.0,34.5,5.5,5.2,63.1/58.8,43.8/4.2,492.6/0.9,507.6,46.9,4.1,,3.5,86.2/84.3,25.9/25.8,2.7/5.2,7.0,36.9,16.0,1160.0,51.6,11.6/0.2,992.0,20.0,57.0,5.01,,0.5,1275.0,
United States of America,19485394.0,2.2,60054.9,0.9,18.5,80.7,1.6,18.7,79.7,4.1,55.8/67.9,115.0,117.0,1662993.0,2574930.0,-911937.0,-488480.0,0.8,82.5,0.9,1.9,81.3/76.5,18.5/22.4,49777.0/15.3,956.9,6.0,17.1,2.6,5.0,101.3/101.4,98.5/99.1,102.3/76.1,5.4,23.6,75.2,1600.0,33.9,5254.3/16.2,79672.0,279.0,,,108.0,2.7,76941.0,0.18
United States Virgin Islands,,,,,,,2.6,11.6,85.7,7.0,55.4/63.3,,107.0,,,,,-0.2,95.8,-0.1,2.3,82.2/76.7,19.5/26.9,56.7/54.1,,9.0,,,,,,,49.3,,64.4,67.0,50.0,,0.0,1.0,39.4,,,,667.0,
Uruguay,59180.0,2.7,17120.2,5.7,26.8,67.5,7.8,19.8,72.4,8.2,55.9/73.8,188.0,118.0,9148.0,9381.0,-233.0,-374.0,0.3,95.4,0.5,2.0,80.7/73.2,20.5/20.0,79.6/2.3,10.5,10.0,9.1,5.0,4.4,104.3/106.6,... / ...,... / ...,7.7,22.2,68.3,110.0,10.7,6.7/2.0,126.0,62.0,20.8,0.08,,0.4,3674.0,
Uzbekistan,49677.0,5.2,1556.8,19.7,34.2,46.2,20.7,37.7,41.6,6.7,53.4/78.0,,167.0,14258.0,19557.0,-5300.0,-3577.0,1.6,50.4,1.5,2.4,72.7/67.8,28.8/8.0,1159.2/3.6,85.5,27.7,6.3,2.4,6.4,102.3/103.9,92.4/93.6,6.9/11.3,,16.0,52.3,62.0,7.5,105.2/3.6,2134.0,50.0,15.9,1.26,175.0,0.2,2690.0,
Vanuatu,864.0,3.5,3128.4,24.0,10.4,65.5,64.5,5.9,29.6,5.2,61.5/79.7,108.0,124.0,63.0,355.0,-291.0,-82.0,2.8,25.4,2.7,4.0,71.2/68.0,38.7/5.8,3.2/1.2,,24.3,3.7,0.2,4.7,118.7/120.7,56.4/53.4,... / ...,2.1,0.0,25.7,140.0,36.1,0.2/0.6,1.0,11.0,6.4,15.48,,,109.0,
Venezuela (Boliv. Rep. of),255093.0,-14.0,7977.4,5.7,36.5,57.8,9.7,23.7,66.6,7.7,47.8/76.9,772.0,109.0,6614.0,2667.0,3947.0,-3870.0,1.1,88.2,1.4,2.4,77.0/69.4,27.4/11.6,1426.3/4.5,123.5,15.0,3.2,,,92.1/94.6,87.2/80.9,... / ...,56.3,22.2,64.3,345.0,52.7,185.2/6.1,6751.0,73.0,67.4,0.01,,0.2,427.0,
Viet Nam,223780.0,6.8,2342.2,17.0,37.1,45.8,38.4,25.4,36.2,2.1,72.5/82.3,161.0,138.0,247989.0,266122.0,-18133.0,6124.0,1.0,36.6,3.2,2.0,79.1/70.8,23.2/11.9,76.1/0.1,29.5,17.9,5.7,0.8,5.7,108.2/107.7,,31.3/25.3,1.5,26.7,49.6,694.0,48.1,166.9/1.8,2880.0,32.0,40.9,1.12,199.0,0.4,12922.0,
Wallis and Futuna Islands,,,,,,,,,,,,,112.0,1.0,60.0,-59.0,,-2.1,0.0,0.0,2.1,78.7/72.8,25.5/15.4,2.8/23.6,,,,,,,,,,,9.0,89.0,41.6,~0.0 /        1.6,,30.0,0.0,,,,,
Western Sahara,,,,,,,30.1,31.0,38.9,7.2,27.4/79.7,,107.0,,,,,1.8,86.8,1.9,2.6,70.3/66.9,27.4/6.0,5.4/1.0,,34.1,,,,,,,,,,50.0,2.7,,,,,,,,,
Yemen,27957.0,-5.9,989.6,16.7,25.7,57.6,41.5,13.4,45.0,14.0,5.8/70.9,158.0,141.0,16569.0,15493.0,1076.0,-2419.0,2.7,37.3,4.4,4.4,67.7/64.3,39.2/4.6,384.3/1.4,2405.7,43.3,5.6,0.3,,86.1/98.6,42.8/58.9,6.1/13.7,6.7,0.3,26.7,308.0,1.0,22.7/0.9,65.0,5.0,31.1,8.47,,,367.0,
Zambia,25868.0,3.5,1513.3,4.3,39.9,55.8,52.5,12.1,35.4,7.8,70.8/79.7,195.0,183.0,9052.0,9462.0,-410.0,-342.0,3.1,44.1,4.3,5.2,61.5/57.0,44.5/3.4,157.0/0.9,73.1,53.3,4.5,0.1,,100.9/98.7,,3.5/4.6,5.3,18.0,27.9,94.0,65.2,4.5/0.3,417.0,28.0,48.3,4.14,157.0,,1083.0,
Zimbabwe,18037.0,3.0,1091.2,11.6,24.3,64.1,68.7,7.3,24.0,5.0,78.7/89.0,106.0,100.0,4037.0,6259.0,-2222.0,-308.0,1.7,32.2,1.8,4.1,58.3/54.9,42.2/4.6,403.9/2.4,19.8,51.2,9.4,0.1,7.5,97.9/99.5,46.7/47.6,8.0/8.9,6.7,31.8,27.1,103.0,35.5,12.0/0.8,380.0,29.0,85.9,4.6,,,2423.0,
